k,lane,drift,drift_prev,A
28,5,0,0,169
6,1,0,0,91
31,13,0,79,182
39,1,96,0,91
41,7,0,0,1
58,0,46,0,1
16,0,25,0,1
27,1,180,0,91
64,5,178,0,169
16,5,0,0,169
9,9,0,0,32
14,6,0,0,1
68,14,0,20,1
38,1,23,0,91
35,7,0,0,1
5,12,0,0,1
27,6,0,0,1
29,8,0,0,1
35,0,12,0,1
18,13,0,3,182
53,9,0,24,32
36,10,0,0,1
5,0,28,0,1
67,8,4,48,1
60,8,0,15,1
62,4,223,0,1
40,8,0,0,1
30,9,0,0,32
59,7,8,0,1
32,14,0,166,1
35,15,0,112,1
22,1,202,0,91
39,5,0,0,169
54,13,0,173,182
61,15,0,6,1
33,11,0,1,1
4,1,0,0,91
4,9,0,0,32
12,12,0,0,1
40,6,0,0,1
53,13,0,126,182
29,14,0,85,1
4,6,0,0,1
44,10,0,14,1
3,7,0,0,1
37,3,225,0,1
6,6,0,0,1
45,10,0,18,1
36,0,23,0,1
62,6,145,0,1
13,3,0,0,1
51,11,0,112,1
45,13,0,20,182
51,14,0,9,1
21,6,0,0,1
13,8,0,0,1
39,10,0,0,1
27,10,0,0,1
40,2,81,0,1
67,5,17,0,169
21,0,219,0,1
18,10,0,0,1
43,11,0,189,1
33,5,0,0,169
46,5,126,0,169
50,8,0,0,1
6,15,0,49,1
64,12,0,176,1
16,13,0,0,182
26,5,0,0,169
11,15,0,131,1
15,6,0,0,1
36,5,0,0,169
15,8,0,0,1
16,11,0,0,1
29,12,0,23,1
63,15,0,8,1
54,5,111,0,169
50,11,0,212,1
69,4,228,0,1
37,1,226,0,91
51,8,0,0,1
34,9,0,0,32
42,12,0,33,1
3,10,0,0,1
45,5,220,0,169
63,9,0,206,32
10,10,0,0,1
9,5,0,0,169
63,5,1,0,169
51,4,113,0,1
29,7,0,0,1
20,2,14,0,1
42,7,0,0,1
65,13,0,178,182
43,14,0,197,1
64,7,177,0,1
43,9,0,0,32
17,1,242,0,91
58,10,0,117,1
29,13,0,226,182
13,1,85,0,91
13,11,0,0,1
64,0,147,0,1
69,3,104,0,1
53,2,47,0,1
26,1,38,0,91
64,4,14,0,1
43,8,0,0,1
54,15,0,67,1
11,7,0,0,1
22,10,0,0,1
19,14,0,116,1
40,3,216,0,1
22,2,40,0,1
49,7,0,0,1
69,10,0,39,1
56,12,0,58,1
66,4,13,0,1
15,3,0,0,1
66,5,108,0,169
34,4,1,0,1
58,1,186,0,91
57,9,0,235,32
51,0,104,0,1
18,0,146,0,1
30,7,0,0,1
26,3,3,0,1
64,9,0,5,32
28,15,0,232,1
14,12,0,0,1
45,9,0,0,32
22,0,67,0,1
42,10,0,2,1
22,12,0,0,1
26,14,0,50,1
55,4,151,0,1
31,9,0,0,32
24,3,1,0,1
18,11,0,0,1
23,7,0,0,1
67,1,99,0,91
38,13,0,47,182
46,6,0,0,1
31,3,59,0,1
50,4,156,0,1
25,14,0,94,1
56,14,0,255,1
65,7,219,1,1
6,14,0,0,1
19,12,0,0,1
59,13,0,202,182
65,3,38,0,1
66,9,0,46,32
69,5,175,0,169
37,0,61,0,1
14,14,0,41,1
1,14,0,0,1
56,8,0,0,1
55,6,51,0,1
3,15,0,7,1
47,3,199,0,1
29,11,0,0,1
12,7,0,0,1
11,14,0,4,1
56,13,0,196,182
18,8,0,0,1
13,6,0,0,1
56,11,0,182,1
50,12,0,60,1
3,13,0,0,182
7,6,0,0,1
29,3,38,0,1
46,7,0,0,1
10,3,0,0,1
34,14,0,145,1
39,8,0,0,1
7,15,0,76,1
4,0,13,0,1
68,5,19,0,169
25,4,0,0,1
21,7,0,0,1
13,10,0,0,1
13,15,0,96,1
4,13,0,0,182
50,9,0,2,32
30,13,0,148,182
16,4,0,0,1
1,8,0,0,1
40,11,0,233,1
30,3,64,0,1
24,7,0,0,1
42,8,0,0,1
8,1,1,0,91
32,4,1,0,1
68,15,0,145,1
8,7,0,0,1
60,6,9,0,1
37,15,0,147,1
6,5,0,0,169
14,2,0,0,1
45,6,0,0,1
14,3,0,0,1
24,4,0,0,1
10,12,0,0,1
30,2,187,0,1
53,4,46,0,1
36,14,0,10,1
27,8,0,0,1
46,12,0,131,1
53,0,215,0,1
20,8,0,0,1
2,6,0,0,1
43,5,72,0,169
23,13,0,85,182
38,2,84,0,1
7,1,0,0,91
29,1,200,0,91
66,6,206,0,1
62,12,0,182,1
54,3,198,0,1
67,14,0,193,1
25,0,137,0,1
27,2,229,0,1
27,4,0,0,1
10,2,0,0,1
10,6,0,0,1
61,5,170,0,169
32,6,0,0,1
8,12,0,0,1
28,14,0,108,1
60,5,176,0,169
65,2,172,0,1
60,2,192,0,1
22,7,0,0,1
25,9,0,0,32
40,5,1,0,169
5,9,0,0,32
44,4,45,0,1
35,13,0,210,182
9,11,0,0,1
53,10,0,7,1
48,1,212,0,91
27,11,0,0,1
55,14,0,225,1
45,8,0,0,1
30,15,0,100,1
60,13,0,54,182
2,10,0,0,1
34,12,0,74,1
50,0,128,0,1
11,9,0,0,32
34,8,0,0,1
65,14,0,104,1
68,2,192,0,1
66,3,238,0,1
16,10,0,0,1
13,7,0,0,1
31,12,0,125,1
22,5,0,0,169
17,8,0,0,1
60,0,72,0,1
41,8,0,0,1
14,8,0,0,1
46,4,21,0,1
30,0,227,0,1
39,11,0,75,1
59,1,7,0,91
46,2,45,0,1
35,10,0,0,1
28,2,81,0,1
2,15,0,3,1
54,6,71,0,1
3,11,0,0,1
4,7,0,0,1
7,12,0,0,1
43,2,51,0,1
28,4,0,0,1
37,13,0,117,182
13,12,0,0,1
44,13,0,90,182
15,12,0,0,1
50,14,0,147,1
62,10,0,84,1
54,14,0,31,1
26,8,0,0,1
57,8,0,1,1
34,7,0,0,1
2,8,0,0,1
20,6,0,0,1
40,15,0,214,1
58,5,87,0,169
16,14,0,201,1
33,4,2,0,1
44,5,68,0,169
40,4,106,0,1
38,5,0,0,169
52,5,205,0,169
62,15,0,238,1
25,5,0,0,169
38,14,0,172,1
41,5,225,0,169
51,6,7,0,1
67,10,0,35,1
18,9,0,0,32
44,3,23,0,1
30,10,0,0,1
60,15,0,190,1
47,12,0,16,1
48,10,0,173,1
48,14,0,59,1
11,13,0,0,182
1,5,0,0,169
24,8,0,0,1
28,3,10,0,1
55,0,203,0,1
48,12,0,215,1
2,0,4,0,1
5,3,0,0,1
53,12,0,228,1
36,3,121,0,1
33,9,0,0,32
49,2,45,0,1
43,6,0,0,1
14,1,207,0,91
38,10,0,0,1
66,7,173,2,1
32,10,0,0,1
24,14,0,42,1
55,15,0,20,1
28,8,0,0,1
60,7,4,0,1
22,13,0,45,182
23,11,0,0,1
35,3,48,0,1
44,9,0,0,32
28,1,169,0,91
37,14,0,106,1
47,9,0,0,32
6,8,0,0,1
24,9,0,0,32
69,13,0,188,182
43,7,0,0,1
14,7,0,0,1
15,14,0,104,1
12,1,170,0,91
51,1,37,0,91
25,3,2,0,1
21,12,0,0,1
54,9,0,35,32
4,5,0,0,169
53,15,0,108,1
14,13,0,0,182
15,4,0,0,1
7,7,0,0,1
15,2,0,0,1
57,11,0,201,1
3,14,0,0,1
49,6,1,0,1
62,9,0,61,32
35,1,9,0,91
34,11,0,3,1
40,7,0,0,1
2,14,0,0,1
64,6,51,0,1
10,5,0,0,169
28,6,0,0,1
41,4,79,0,1
16,8,0,0,1
16,1,61,0,91
44,12,0,179,1
5,4,0,0,1
28,10,0,0,1
3,1,0,0,91
7,2,0,0,1
13,14,0,20,1
26,9,0,0,32
51,2,43,0,1
25,10,0,0,1
42,0,2,0,1
23,14,0,110,1
34,13,0,101,182
19,1,248,0,91
69,6,1,0,1
47,10,0,108,1
45,14,0,60,1
17,6,0,0,1
49,3,209,0,1
3,2,0,0,1
24,10,0,0,1
8,0,243,0,1
26,13,0,64,182
41,1,129,0,91
10,9,0,0,32
36,9,0,0,32
21,4,0,0,1
51,10,0,80,1
31,2,19,0,1
15,1,225,0,91
32,5,0,0,169
40,0,133,0,1
43,13,0,39,182
8,13,0,0,182
67,0,227,0,1
23,15,0,82,1
33,13,0,108,182
22,3,0,0,1
59,10,0,108,1
4,12,0,0,1
42,15,0,143,1
23,3,0,0,1
68,10,0,148,1
45,12,0,202,1
38,6,0,0,1
64,3,85,0,1
20,1,57,0,91
7,10,0,0,1
40,10,0,0,1
18,7,0,0,1
43,12,0,59,1
36,1,0,0,91
56,7,1,0,1
9,12,0,0,1
10,7,0,0,1
35,4,5,0,1
19,11,0,0,1
50,3,101,0,1
30,5,0,0,169
47,4,16,0,1
22,15,0,15,1
29,9,0,0,32
44,1,87,0,91
40,14,0,51,1
63,0,204,0,1
41,10,0,1,1
49,10,0,116,1
52,10,0,250,1
58,12,0,82,1
66,13,0,94,182
4,8,0,0,1
7,9,0,0,32
4,15,0,8,1
41,13,0,154,182
63,3,4,0,1
6,10,0,0,1
35,8,0,0,1
6,11,0,0,1
58,14,0,154,1
56,0,61,0,1
1,3,0,0,1
23,4,0,0,1
55,1,46,0,91
5,8,0,0,1
22,4,0,0,1
62,2,190,0,1
14,15,0,48,1
19,4,0,0,1
27,14,0,56,1
53,8,0,0,1
67,2,186,0,1
52,1,116,0,91
50,13,0,46,182
12,11,0,0,1
65,8,1,168,1
18,5,0,0,169
48,9,0,0,32
52,9,0,14,32
44,7,0,0,1
28,7,0,0,1
33,8,0,0,1
8,4,0,0,1
65,9,0,56,32
49,5,55,0,169
63,11,0,253,1
66,2,228,0,1
65,10,0,177,1
10,0,129,0,1
34,6,0,0,1
30,8,0,0,1
31,14,0,231,1
28,12,0,13,1
62,13,0,17,182
37,11,0,23,1
58,13,0,24,182
65,4,26,0,1
40,1,201,0,91
46,10,0,46,1
7,8,0,0,1
18,12,0,0,1
1,12,0,0,1
36,2,243,0,1
17,13,0,1,182
40,13,0,73,182
42,1,8,0,91
48,4,49,0,1
6,7,0,0,1
15,10,0,0,1
7,13,0,0,182
20,5,0,0,169
30,11,0,0,1
41,14,0,204,1
26,2,108,0,1
58,2,178,0,1
24,11,0,0,1
14,5,0,0,169
27,3,7,0,1
18,3,0,0,1
27,12,0,6,1
42,6,0,0,1
29,6,0,0,1
58,15,0,33,1
19,0,182,0,1
39,3,79,0,1
61,8,0,19,1
9,6,0,0,1
38,15,0,208,1
2,2,0,0,1
56,3,205,0,1
1,4,0,0,1
11,12,0,0,1
3,4,0,0,1
21,1,143,0,91
4,4,0,0,1
1,9,0,0,32
44,6,0,0,1
1,13,0,0,182
3,6,0,0,1
59,4,93,0,1
43,15,0,145,1
38,11,0,34,1
14,9,0,0,32
62,7,70,0,1
23,10,0,0,1
22,6,0,0,1
55,8,0,0,1
18,4,0,0,1
45,7,0,0,1
55,3,159,0,1
20,9,0,0,32
12,9,0,0,32
16,12,0,0,1
50,7,0,0,1
9,4,0,0,1
5,10,0,0,1
38,3,39,0,1
37,4,11,0,1
11,8,0,0,1
62,11,0,30,1
61,13,0,246,182
60,14,0,123,1
61,11,0,55,1
30,14,0,205,1
55,9,0,106,32
31,15,0,71,1
36,6,0,0,1
25,8,0,0,1
54,12,0,213,1
57,1,36,0,91
35,12,0,174,1
32,11,0,0,1
20,0,223,0,1
11,2,0,0,1
44,2,186,0,1
51,3,195,0,1
13,13,0,0,182
26,0,7,0,1
69,12,0,178,1
26,6,0,0,1
50,2,114,0,1
31,0,231,0,1
52,7,0,0,1
66,1,220,0,91
57,6,219,0,1
41,3,155,0,1
52,0,48,0,1
53,3,241,0,1
36,8,0,0,1
32,9,0,0,32
57,14,0,214,1
67,13,0,66,182
31,7,0,0,1
33,12,0,169,1
14,10,0,0,1
69,8,36,29,1
39,4,158,0,1
49,1,36,0,91
17,2,2,0,1
34,1,144,0,91
15,9,0,0,32
7,0,148,0,1
39,2,198,0,1
51,12,0,161,1
52,3,128,0,1
10,11,0,0,1
32,12,0,184,1
48,11,0,230,1
64,1,118,0,91
12,10,0,0,1
1,7,0,0,1
34,0,83,0,1
43,0,254,0,1
61,7,35,0,1
34,10,0,0,1
41,0,52,0,1
69,9,0,131,32
8,11,0,0,1
58,11,0,184,1
52,4,167,0,1
25,1,180,0,91
29,15,0,30,1
10,15,0,2,1
53,5,136,0,169
29,4,0,0,1
62,0,26,0,1
61,9,0,201,32
22,14,0,228,1
20,3,0,0,1
16,3,0,0,1
3,9,0,0,32
11,6,0,0,1
30,4,0,0,1
56,1,199,0,91
69,0,229,0,1
45,3,185,0,1
7,14,0,0,1
2,4,0,0,1
34,15,0,29,1
59,3,158,0,1
66,14,0,53,1
21,11,0,0,1
53,7,0,0,1
15,13,0,0,182
69,14,0,126,1
14,4,0,0,1
52,14,0,158,1
26,12,0,3,1
7,3,0,0,1
35,2,176,0,1
19,9,0,0,32
14,11,0,0,1
5,11,0,0,1
43,4,69,0,1
35,14,0,17,1
20,12,0,0,1
25,15,0,229,1
23,12,0,0,1
38,7,0,0,1
7,11,0,0,1
41,15,0,91,1
17,5,0,0,169
60,3,29,0,1
65,11,0,53,1
3,0,1,0,1
46,9,0,0,32
48,5,39,0,169
64,14,0,18,1
50,10,0,43,1
17,14,0,118,1
17,4,0,0,1
37,9,0,0,32
57,12,0,7,1
13,9,0,0,32
44,11,0,2,1
56,9,0,157,32
48,0,178,0,1
53,6,11,0,1
16,9,0,0,32
46,11,0,193,1
31,1,47,0,91
25,12,0,1,1
47,15,0,186,1
12,14,0,10,1
2,13,0,0,182
21,3,0,0,1
16,6,0,0,1
66,15,0,238,1
64,2,33,0,1
62,3,246,0,1
60,1,126,0,91
25,7,0,0,1
7,5,0,0,169
35,11,0,4,1
56,10,0,24,1
5,13,0,0,182
28,0,54,0,1
2,5,0,0,169
67,9,0,252,32
28,9,0,0,32
19,5,0,0,169
17,12,0,0,1
63,8,0,124,1
66,0,192,0,1
48,8,0,0,1
13,2,0,0,1
30,1,234,0,91
7,4,0,0,1
18,14,0,8,1
37,6,0,0,1
47,13,0,181,182
32,15,0,46,1
53,1,13,0,91
29,0,70,0,1
11,3,0,0,1
49,12,0,107,1
65,1,77,0,91
63,12,0,172,1
67,6,183,0,1
33,7,0,0,1
40,9,0,0,32
64,8,1,247,1
65,5,6,0,169
12,6,0,0,1
1,15,0,1,1
24,5,0,0,169
66,8,5,131,1
56,2,209,0,1
61,4,231,0,1
6,13,0,0,182
19,10,0,0,1
46,14,0,213,1
48,6,1,0,1
26,15,0,110,1
46,1,183,0,91
49,13,0,1,182
5,15,0,21,1
42,9,0,0,32
60,9,0,192,32
11,1,70,0,91
17,15,0,79,1
29,2,178,0,1
24,15,0,4,1
55,5,154,0,169
8,14,0,0,1
20,14,0,44,1
17,3,0,0,1
8,8,0,0,1
68,4,83,0,1
44,14,0,53,1
20,4,0,0,1
27,13,0,172,182
61,10,0,106,1
59,5,142,0,169
5,2,0,0,1
57,4,239,0,1
55,12,0,155,1
3,5,0,0,169
31,4,0,0,1
12,13,0,0,182
37,12,0,87,1
19,13,0,5,182
60,10,0,122,1
1,11,0,0,1
11,0,248,0,1
39,15,0,233,1
13,0,208,0,1
20,15,0,85,1
67,7,187,7,1
3,3,0,0,1
9,13,0,0,182
57,5,176,0,169
38,0,25,0,1
26,11,0,0,1
59,11,0,187,1
55,2,93,0,1
23,1,156,0,91
11,10,0,0,1
63,4,42,0,1
35,5,0,0,169
8,2,0,0,1
30,12,0,61,1
23,5,0,0,169
12,5,0,0,169
48,13,0,206,182
52,13,0,203,182
8,15,0,224,1
31,6,0,0,1
37,5,0,0,169
9,0,47,0,1
49,15,0,77,1
68,3,226,0,1
58,9,0,198,32
5,5,0,0,169
21,2,18,0,1
6,2,0,0,1
69,2,176,0,1
39,7,0,0,1
9,1,17,0,91
66,11,0,79,1
43,3,120,0,1
1,0,2,0,1
49,8,0,0,1
6,0,27,0,1
1,2,0,0,1
50,1,166,0,91
68,6,208,0,1
19,8,0,0,1
57,0,5,0,1
5,1,0,0,91
61,6,116,0,1
16,15,0,54,1
23,2,135,0,1
57,7,1,0,1
16,7,0,0,1
34,5,0,0,169
34,3,100,0,1
61,0,232,0,1
43,10,0,6,1
63,2,194,0,1
49,0,7,0,1
17,7,0,0,1
13,5,0,0,169
19,7,0,0,1
33,3,161,0,1
9,14,0,1,1
21,15,0,52,1
48,2,51,0,1
67,12,0,25,1
61,14,0,73,1
10,8,0,0,1
64,15,0,212,1
12,4,0,0,1
36,4,14,0,1
47,11,0,214,1
24,13,0,220,182
27,15,0,117,1
60,12,0,37,1
42,11,0,162,1
45,15,0,5,1
59,0,111,0,1
9,15,0,211,1
59,2,108,0,1
25,6,0,0,1
45,2,116,0,1
27,9,0,0,32
33,14,0,168,1
19,6,0,0,1
63,10,0,94,1
54,10,0,111,1
47,0,225,0,1
69,15,0,12,1
41,6,0,0,1
63,13,0,207,182
38,8,0,0,1
57,3,75,0,1
50,6,5,0,1
19,3,0,0,1
19,2,8,0,1
59,14,0,180,1
2,9,0,0,32
60,4,31,0,1
69,11,0,95,1
48,3,148,0,1
54,2,186,0,1
2,12,0,0,1
36,15,0,124,1
29,5,0,0,169
20,10,0,0,1
17,11,0,0,1
68,7,50,11,1
45,0,63,0,1
18,15,0,13,1
52,15,0,60,1
8,9,0,0,32
21,5,0,0,169
45,1,89,0,91
58,4,3,0,1
26,7,0,0,1
27,5,0,0,169
66,12,0,43,1
33,0,69,0,1
17,10,0,0,1
20,7,0,0,1
21,10,0,0,1
35,6,0,0,1
58,3,53,0,1
24,6,0,0,1
33,15,0,216,1
62,14,0,171,1
62,1,109,0,91
6,9,0,0,32
62,5,138,0,169
13,4,0,0,1
18,1,236,0,91
